distance_m,x_m,y_m,height_m
20.074762,-19.805000,-19.805000,1.363096474
20.194970,-19.720000,-19.720000,1.338867739
20.315178,-19.635000,-19.635000,1.313822383
20.435386,-19.550000,-19.550000,1.287974516
20.555594,-19.465000,-19.465000,1.261339149
20.675802,-19.380000,-19.380000,1.233932194
20.796010,-19.295000,-19.295000,1.205761235
20.916219,-19.210000,-19.210000,1.176829594
21.036427,-19.125000,-19.125000,1.147181125
21.156635,-19.040000,-19.040000,1.116835410
21.276843,-18.955000,-18.955000,1.085812898
21.397051,-18.870000,-18.870000,1.054134891
21.517259,-18.785000,-18.785000,1.021823532
21.637468,-18.700000,-18.700000,0.988901783
21.757676,-18.615000,-18.615000,0.955393414
21.877884,-18.530000,-18.530000,0.921322976
21.998092,-18.445000,-18.445000,0.886715779
22.118300,-18.360000,-18.360000,0.851597871
22.238508,-18.275000,-18.275000,0.815976579
22.358716,-18.190000,-18.190000,0.779899123
22.478925,-18.105000,-18.105000,0.743395723
22.599133,-18.020000,-18.020000,0.706495160
22.719341,-17.935000,-17.935000,0.669226799
22.839549,-17.850000,-17.850000,0.631620545
22.959757,-17.765000,-17.765000,0.593706814
23.079965,-17.680000,-17.680000,0.555516488
23.200173,-17.595000,-17.595000,0.517080876
23.320382,-17.510000,-17.510000,0.478431675
23.440590,-17.425000,-17.425000,0.439600923
23.560798,-17.340000,-17.340000,0.400617693
23.681006,-17.255000,-17.255000,0.361517315
23.801214,-17.170000,-17.170000,0.322335975
23.921422,-17.085000,-17.085000,0.283106648
24.041631,-17.000000,-17.000000,0.243862411
24.161839,-16.915000,-16.915000,0.204636398
24.282047,-16.830000,-16.830000,0.165461745
24.402255,-16.745000,-16.745000,0.126371545
24.522463,-16.660000,-16.660000,0.087398793
24.642671,-16.575000,-16.575000,0.048576339
24.762879,-16.490000,-16.490000,0.009936835
24.883088,-16.405000,-16.405000,-0.028485372
25.003296,-16.320000,-16.320000,-0.066649729
25.123504,-16.235000,-16.235000,-0.104532125
25.243712,-16.150000,-16.150000,-0.142101256
25.363920,-16.065000,-16.065000,-0.179326277
25.484128,-15.980000,-15.980000,-0.216176851
25.604337,-15.895000,-15.895000,-0.252623191
25.724545,-15.810000,-15.810000,-0.288636117
25.844753,-15.725000,-15.725000,-0.324187092
25.964961,-15.640000,-15.640000,-0.359248277
26.085169,-15.555000,-15.555000,-0.393792566
26.205377,-15.470000,-15.470000,-0.427793636
26.325585,-15.385000,-15.385000,-0.461204134
26.445794,-15.300000,-15.300000,-0.494014481
26.566002,-15.215000,-15.215000,-0.526205705
26.686210,-15.130000,-15.130000,-0.557755113
26.806418,-15.045000,-15.045000,-0.588640989
26.926626,-14.960000,-14.960000,-0.618842624
27.046834,-14.875000,-14.875000,-0.648340343
27.167043,-14.790000,-14.790000,-0.677115539
27.287251,-14.705000,-14.705000,-0.705150692
27.407459,-14.620000,-14.620000,-0.732429399
27.527667,-14.535000,-14.535000,-0.758936388
27.647875,-14.450000,-14.450000,-0.784640950
27.768083,-14.365000,-14.365000,-0.809526024
27.888291,-14.280000,-14.280000,-0.833599586
28.008500,-14.195000,-14.195000,-0.856851223
28.128708,-14.110000,-14.110000,-0.879271729
28.248916,-14.025000,-14.025000,-0.900853112
28.369124,-13.940000,-13.940000,-0.921588594
28.489332,-13.855000,-13.855000,-0.941472618
28.609540,-13.770000,-13.770000,-0.960500844
28.729749,-13.685000,-13.685000,-0.978670145
28.849957,-13.600000,-13.600000,-0.995978601
28.970165,-13.515000,-13.515000,-1.012421869
29.090373,-13.430000,-13.430000,-1.027967872
29.210581,-13.345000,-13.345000,-1.042654587
29.330789,-13.260000,-13.260000,-1.056484954
29.450997,-13.175000,-13.175000,-1.069463049
29.571206,-13.090000,-13.090000,-1.081594066
29.691414,-13.005000,-13.005000,-1.092884288
29.811622,-12.920000,-12.920000,-1.103341068
29.931830,-12.835000,-12.835000,-1.112972799
30.052038,-12.750000,-12.750000,-1.121788882
30.172246,-12.665000,-12.665000,-1.129799700
30.292455,-12.580000,-12.580000,-1.137016580
30.412663,-12.495000,-12.495000,-1.143425571
30.532871,-12.410000,-12.410000,-1.149057168
30.653079,-12.325000,-12.325000,-1.153935399
30.773287,-12.240000,-12.240000,-1.158075113
30.893495,-12.155000,-12.155000,-1.161491910
31.013703,-12.070000,-12.070000,-1.164202098
31.133912,-11.985000,-11.985000,-1.166222650
31.254120,-11.900000,-11.900000,-1.167571160
31.374328,-11.815000,-11.815000,-1.168265798
31.494536,-11.730000,-11.730000,-1.168325265
31.614744,-11.645000,-11.645000,-1.167768743
31.734952,-11.560000,-11.560000,-1.166605897
31.855160,-11.475000,-11.475000,-1.164850478
31.975369,-11.390000,-11.390000,-1.162540846
32.095577,-11.305000,-11.305000,-1.159697676
32.215785,-11.220000,-11.220000,-1.156341878
32.335993,-11.135000,-11.135000,-1.152494550
32.456201,-11.050000,-11.050000,-1.148176927
32.576409,-10.965000,-10.965000,-1.143410338
32.696618,-10.880000,-10.880000,-1.138216154
32.816826,-10.795000,-10.795000,-1.132615742
32.937034,-10.710000,-10.710000,-1.126630420
33.057242,-10.625000,-10.625000,-1.120281409
33.177450,-10.540000,-10.540000,-1.113574214
33.297658,-10.455000,-10.455000,-1.106547161
33.417866,-10.370000,-10.370000,-1.099220885
33.538075,-10.285000,-10.285000,-1.091615747
33.658283,-10.200000,-10.200000,-1.083751784
33.778491,-10.115000,-10.115000,-1.075648679
33.898699,-10.030000,-10.030000,-1.067325713
34.018907,-9.945000,-9.945000,-1.058801736
34.139115,-9.860000,-9.860000,-1.050095124
34.259324,-9.775000,-9.775000,-1.041223752
34.379532,-9.690000,-9.690000,-1.032204957
34.499740,-9.605000,-9.605000,-1.023051955
34.619948,-9.520000,-9.520000,-1.013783633
34.740156,-9.435000,-9.435000,-1.004417764
34.860364,-9.350000,-9.350000,-0.994969166
34.980572,-9.265000,-9.265000,-0.985451976
35.100781,-9.180000,-9.180000,-0.975879633
35.220989,-9.095000,-9.095000,-0.966264856
35.341197,-9.010000,-9.010000,-0.956619627
35.461405,-8.925000,-8.925000,-0.946955175
35.581613,-8.840000,-8.840000,-0.937281962
35.701821,-8.755000,-8.755000,-0.927609670
35.822030,-8.670000,-8.670000,-0.917947527
35.942238,-8.585000,-8.585000,-0.908304677
36.062446,-8.500000,-8.500000,-0.898687726
36.182654,-8.415000,-8.415000,-0.889103062
36.302862,-8.330000,-8.330000,-0.879556263
36.423070,-8.245000,-8.245000,-0.870052099
36.543278,-8.160000,-8.160000,-0.860594534
36.663487,-8.075000,-8.075000,-0.851186727
36.783695,-7.990000,-7.990000,-0.841831043
36.903903,-7.905000,-7.905000,-0.832529056
37.024111,-7.820000,-7.820000,-0.823281562
37.144319,-7.735000,-7.735000,-0.814088590
37.264527,-7.650000,-7.650000,-0.804952806
37.384736,-7.565000,-7.565000,-0.795869645
37.504944,-7.480000,-7.480000,-0.786836491
37.625152,-7.395000,-7.395000,-0.777850365
37.745360,-7.310000,-7.310000,-0.768907605
37.865568,-7.225000,-7.225000,-0.760003891
37.985776,-7.140000,-7.140000,-0.751134261
38.105984,-7.055000,-7.055000,-0.742293142
38.226193,-6.970000,-6.970000,-0.733474371
38.346401,-6.885000,-6.885000,-0.724671224
38.466609,-6.800000,-6.800000,-0.715876441
38.586817,-6.715000,-6.715000,-0.707083262
38.707025,-6.630000,-6.630000,-0.698282793
38.827233,-6.545000,-6.545000,-0.689465325
38.947442,-6.460000,-6.460000,-0.680621707
39.067650,-6.375000,-6.375000,-0.671742411
39.187858,-6.290000,-6.290000,-0.662817569
39.308066,-6.205000,-6.205000,-0.653836996
39.428274,-6.120000,-6.120000,-0.644790235
39.548482,-6.035000,-6.035000,-0.635666584
39.668690,-5.950000,-5.950000,-0.626455134
39.788899,-5.865000,-5.865000,-0.617144801
39.909107,-5.780000,-5.780000,-0.607723888
40.029315,-5.695000,-5.695000,-0.598178881
40.149523,-5.610000,-5.610000,-0.588500165
40.269731,-5.525000,-5.525000,-0.578676310
40.389939,-5.440000,-5.440000,-0.568695890
40.510147,-5.355000,-5.355000,-0.558547523
40.630356,-5.270000,-5.270000,-0.548219899
40.750564,-5.185000,-5.185000,-0.537701816
40.870772,-5.100000,-5.100000,-0.526982211
40.990980,-5.015000,-5.015000,-0.516050196
41.111188,-4.930000,-4.930000,-0.504895085
41.231396,-4.845000,-4.845000,-0.493506428
41.351605,-4.760000,-4.760000,-0.481867522
41.471813,-4.675000,-4.675000,-0.469972872
41.592021,-4.590000,-4.590000,-0.457814329
41.712229,-4.505000,-4.505000,-0.445382721
41.832437,-4.420000,-4.420000,-0.432669253
41.952645,-4.335000,-4.335000,-0.419665536
42.072853,-4.250000,-4.250000,-0.406363610
42.193062,-4.165000,-4.165000,-0.392755963
42.313270,-4.080000,-4.080000,-0.378835558
42.433478,-3.995000,-3.995000,-0.364595846
42.553686,-3.910000,-3.910000,-0.350030791
42.673894,-3.825000,-3.825000,-0.335129808
42.794102,-3.740000,-3.740000,-0.319886701
42.914311,-3.655000,-3.655000,-0.304303130
43.034519,-3.570000,-3.570000,-0.288375332
43.154727,-3.485000,-3.485000,-0.272100124
43.274935,-3.400000,-3.400000,-0.255474921
43.395143,-3.315000,-3.315000,-0.238497735
43.515351,-3.230000,-3.230000,-0.221167192
43.635559,-3.145000,-3.145000,-0.203482528
43.755768,-3.060000,-3.060000,-0.185443600
