#{"t_start": 1787237937.5501997, "env_id": "Ant-v5"}
r,l,t
-54.261826,63,82.065249
-36.955517,46,82.097958
-18.183106,24,82.114957
-60.141199,69,82.162982
-19.138908,18,82.175981
-25.261003,74,82.2285
-45.70119,55,82.267507
-737.981742,1000,83.038506
-11.680346,14,83.048505
-4.779523,13,83.058506
-23.027388,24,83.077023
8.424642,32,83.101039
-6.082817,13,83.11112
-13.794429,15,83.12312
-35.238579,78,83.180643
-20.691222,31,83.203645
-47.50214,50,83.241645
11.045795,17,83.254645
-11.814769,12,83.263652
-37.62922,83,83.799071
-17.865746,30,83.823071
-22.922506,36,83.850071
-11.867868,24,83.869076
-19.238438,32,83.892588
-89.239299,91,83.960626
-32.406562,44,83.994424
-37.850096,34,84.019425
-29.04566,54,84.073434
-8.237853,52,84.110858
-3.478996,53,84.148859
-13.247828,25,84.166866
-39.042263,107,84.242225
-24.419022,55,84.280748
-17.609298,23,84.296749
-87.806981,82,84.35475
-10.307415,14,84.364758
-11.649847,61,84.409275
-34.828565,59,84.454279
-41.192264,50,84.489882
-14.066149,13,84.498883
-79.562098,50,84.535619
-7.653635,43,84.567626
-24.178909,21,84.583141
-8.251099,15,84.594141
2.394327,32,84.622141
-14.317582,25,84.642142
-13.835032,50,84.678665
-50.041297,48,84.715667
-12.063328,17,84.728666
-25.991831,85,84.791192
-17.250143,42,84.822192
-24.046856,58,84.865201
9.635129,14,84.876201
-9.208771,14,84.885715
-20.320298,62,84.930717
-9.508391,14,84.940716
-16.121907,22,84.956716
-34.755065,31,84.979238
-0.091611,25,84.999336
-10.241743,12,85.009344
-60.334868,45,85.042344
-30.555812,45,85.074353
2.984029,35,85.100875
-126.663382,153,85.214448
-32.948483,31,85.237449
-668.166764,1000,86.432173
-13.525232,37,86.457182
-21.660482,85,86.519106
-5.46293,33,86.543106
-15.627956,12,86.552106
-35.216564,30,86.574114
-17.861032,28,86.59463
-39.992564,48,86.62963
-14.593261,15,86.64063
-26.464845,41,86.670638
-695.104117,1000,87.896805
-58.43718,66,87.947809
3.637976,14,87.958809
-4.414093,21,87.973814
-15.003672,55,88.012473
-26.53858,28,88.033473
-44.939373,57,88.07348
-9.751742,72,88.124
-178.103661,178,88.248483
1.731246,15,88.259484
6.546609,21,88.275491
-28.279127,146,88.384531
1.184888,25,88.402531
-110.526412,102,88.47605
-4.365263,50,88.512176
-13.998816,18,88.525176
-8.741335,26,88.548175
-22.284772,35,88.574183
-78.311628,42,88.604699
-38.475306,64,88.650699
-6.581562,18,88.666707
-14.322305,15,88.678707
-90.260867,90,88.748226
-20.621753,33,88.773233
19.56365,21,88.788747
-40.092363,36,88.814749
-53.935004,96,88.88527
-14.876056,62,88.933271
-6.676836,27,88.956272
-27.224951,62,89.004019
-10.397278,23,89.02202
-6.977035,57,89.064781
-27.67283,17,89.077787
-27.426501,29,89.101312
-17.42312,16,89.11441
-4.481478,65,89.164411
-2.524884,50,89.201933
-23.326064,55,89.242934
-20.595757,28,89.724779
-43.528103,38,89.755777
5.246789,49,89.791303
-3.796017,12,89.801305
-2.463459,16,89.813303
-5.86074,8,89.820303
