#{"t_start": 1787236830.6350453, "env_id": "Ant-v5"}
r,l,t
-10.902471,14,94.094204
-14.599584,22,94.111203
-14.995671,17,94.124205
-44.935485,78,94.185726
-14.256107,16,94.197721
-12.804181,20,94.212731
-14.283948,20,94.22674
-23.874295,49,94.262822
-61.764021,89,94.326346
-21.062108,40,94.355876
-32.749943,61,94.400526
-12.550011,30,94.422526
-11.731677,17,94.435526
-46.342757,77,94.492065
-29.141709,52,94.530175
-21.535137,49,94.565063
-16.95997,56,94.606798
-17.189771,30,94.628799
-28.109914,33,94.653799
-12.001536,15,94.664799
-60.347905,123,94.753326
-30.428496,40,94.783841
-24.901241,40,94.81185
-71.951391,170,94.934362
-23.476645,38,94.961363
-16.241218,17,94.973371
-30.644398,51,95.009887
-27.05104,50,95.045892
-103.507787,173,95.175167
-11.504934,19,95.189685
-25.52141,64,95.236691
-6.558276,10,95.245207
-11.129073,18,95.258769
-639.631707,1000,96.476753
-11.192052,31,96.499267
-8.3947,13,96.509268
-10.177727,12,96.517267
-21.574426,34,96.544269
-65.908887,135,96.644793
-16.909649,22,96.661794
-10.686024,18,96.674801
-610.274037,1000,97.882271
-11.988338,15,97.893776
-43.40033,88,97.965815
-12.243463,16,97.978818
-298.99148,518,98.386613
-9.63993,25,98.405623
-32.088687,58,98.451626
-60.966562,139,98.555148
-16.869553,28,98.576156
-11.394963,18,98.590214
-16.780539,30,98.612212
-22.543459,43,98.643213
-29.360452,40,98.672221
-39.493447,78,98.730737
-30.673347,36,98.75776
-13.333734,24,98.776746
-10.182758,11,98.784746
-46.463689,94,98.853261
-20.564869,29,98.875275
-20.01709,33,98.900308
-44.464212,81,98.959888
-8.364864,26,98.978895
-43.454075,77,99.036464
-14.346179,33,99.062462
-24.110213,48,99.098558
-9.055397,12,99.108558
-12.308238,33,99.133554
-20.555365,41,99.164555
-40.375841,78,99.223612
-7.14724,13,99.233615
-12.853822,14,99.244121
-32.19709,47,99.279666
-22.088157,34,99.305204
-30.240035,56,99.347675
-85.565711,208,99.969146
-102.623785,179,100.112851
-11.416996,24,100.131809
-11.304409,16,100.143809
-10.974417,24,100.162817
-13.282057,27,100.18282
-8.443789,23,100.201332
-34.434812,68,100.251333
-3.202693,13,100.261334
-15.234242,25,100.280344
-26.323017,50,100.319861
-53.055543,69,100.369964
-24.364478,43,100.401498
-19.016446,36,100.427494
-7.753296,18,100.439494
-35.994053,71,100.491016
-609.693882,1000,101.224991
-14.876974,37,101.254646
-29.619944,67,101.306898
-20.309144,33,101.331876
-8.742762,13,101.342877
-39.473797,78,101.401345
-36.5326,84,101.946475
-24.878814,64,101.997677
-9.622069,23,102.017638
-22.83531,50,102.06058
-68.57342,122,102.156778
-49.377412,81,102.218302
-69.717878,131,102.317758
-17.781863,30,102.33969
-8.920576,19,102.353698
-18.378097,30,102.376885
-585.226568,1000,103.113793
-28.843977,65,103.162794
-29.223162,66,103.211324
-9.824033,16,103.223324
-16.13965,20,103.238324
-45.221997,78,103.297836
-13.960307,26,103.317837
-601.471303,1000,104.537051
-11.213396,29,104.558049
-19.343454,42,104.589062
-8.619196,17,104.60249
-12.842294,27,104.62349
-28.426315,47,104.658566
-28.86158,46,104.691246
-20.624364,42,104.721256
-33.372977,59,104.767258
-12.661424,38,104.794781
-556.644788,1000,106.015636
-44.033861,103,106.099143
-542.099352,1000,106.855145
-27.526609,74,106.909462
-10.169497,17,106.922041
-27.458274,45,106.955042
-5.747988,13,106.965044
-23.102742,63,107.010563
-17.524019,25,107.029567
-30.551612,82,107.091572
-20.748957,33,107.117084
-39.501629,68,107.167089
-11.394479,22,107.185097
-50.997742,139,107.289881
-23.478843,52,107.329397
-20.064408,33,107.356405
-45.433534,116,107.445143
-53.307474,102,107.987348
-16.19192,34,108.014846
-35.554944,64,108.066855
